TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,"PERCENT OF PEOPLE 5 YEARS AND OVER WHO SPEAK ENGLISH LESS THAN ""VERY WELL""",,,,
R1603,05000US47065,"Hamilton County, Tennessee",54,3.7,+/-0.6
R1603,05000US47093,"Knox County, Tennessee",54,2.2,+/-0.4
R1603,05000US47149,"Rutherford County, Tennessee",54,6,+/-1.0
R1603,05000US47157,"Shelby County, Tennessee",54,4,+/-0.4
R1603,05000US47187,"Williamson County, Tennessee",54,2.5,+/-0.8
R1603,05000US48027,"Bell County, Texas",54,5.4,+/-1.0
R1603,05000US48029,"Bexar County, Texas",54,11.3,+/-0.7
R1603,05000US48039,"Brazoria County, Texas",54,7.2,+/-1.1
R1603,05000US48041,"Brazos County, Texas",54,8.9,+/-1.4
R1603,05000US48085,"Collin County, Texas",54,10.2,+/-0.8
R1603,05000US48113,"Dallas County, Texas",54,18.7,+/-0.6
R1603,05000US48121,"Denton County, Texas",54,8,+/-0.7
R1603,05000US48141,"El Paso County, Texas",54,32.1,+/-1.8
R1603,05000US48157,"Fort Bend County, Texas",54,12.1,+/-1.1
R1603,05000US48167,"Galveston County, Texas",54,6.6,+/-1.3
R1603,05000US48201,"Harris County, Texas",54,20.4,+/-0.5
R1603,05000US48215,"Hidalgo County, Texas",54,30.3,+/-1.2
R1603,05000US48245,"Jefferson County, Texas",54,9.8,+/-1.2
R1603,05000US48303,"Lubbock County, Texas",54,4.2,+/-0.8
R1603,05000US48309,"McLennan County, Texas",54,9.2,+/-1.5
R1603,05000US48339,"Montgomery County, Texas",54,7.1,+/-0.9
R1603,05000US48355,"Nueces County, Texas",54,7.2,+/-1.0
R1603,05000US48375,"Potter County, Texas",54,10.3,+/-2.2
R1603,05000US48423,"Smith County, Texas",54,8,+/-1.5
R1603,05000US48439,"Tarrant County, Texas",54,10.5,+/-0.7
R1603,05000US48441,"Taylor County, Texas",54,3,+/-1.0
R1603,05000US48453,"Travis County, Texas",54,11.2,+/-0.9
R1603,05000US48491,"Williamson County, Texas",54,6.9,+/-0.9
R1603,05000US49005,"Cache County, Utah",54,3.7,+/-1.0
R1603,05000US49011,"Davis County, Utah",54,2.8,+/-0.5
R1603,05000US49035,"Salt Lake County, Utah",54,6.8,+/-0.5
R1603,05000US49049,"Utah County, Utah",54,3.8,+/-0.4
R1603,05000US50007,"Chittenden County, Vermont",54,4.5,+/-1.1
R1603,05000US51013,"Arlington County, Virginia",54,8.6,+/-1.4
R1603,05000US51041,"Chesterfield County, Virginia",54,5.7,+/-0.8
R1603,05000US51059,"Fairfax County, Virginia",54,15,+/-0.8
R1603,05000US51087,"Henrico County, Virginia",54,6.2,+/-1.0
R1603,05000US51107,"Loudoun County, Virginia",54,9.5,+/-1.1
R1603,05000US51153,"Prince William County, Virginia",54,14.6,+/-1.1
R1603,05000US51177,"Spotsylvania County, Virginia",54,5.5,+/-0.9
R1603,05000US51179,"Stafford County, Virginia",54,5.7,+/-1.3
R1603,05000US51510,"Alexandria city, Virginia",54,11,+/-1.9
R1603,05000US51550,"Chesapeake city, Virginia",54,3.9,+/-0.8
R1603,05000US51700,"Newport News city, Virginia",54,3.1,+/-0.9
R1603,05000US51710,"Norfolk city, Virginia",54,3.2,+/-0.7
R1603,05000US51760,"Richmond city, Virginia",54,5.7,+/-0.7
R1603,05000US51810,"Virginia Beach city, Virginia",54,4,+/-0.6
R1603,05000US53005,"Benton County, Washington",54,7.1,+/-1.2
R1603,05000US53011,"Clark County, Washington",54,5.7,+/-1.1
R1603,05000US53033,"King County, Washington",54,10.8,+/-0.5
R1603,05000US53035,"Kitsap County, Washington",54,2.1,+/-0.5
R1603,05000US53053,"Pierce County, Washington",54,5.3,+/-0.5
R1603,05000US53057,"Skagit County, Washington",54,6.9,+/-1.8
R1603,05000US53061,"Snohomish County, Washington",54,7.8,+/-0.8
R1603,05000US53063,"Spokane County, Washington",54,2.3,+/-0.5
R1603,05000US53067,"Thurston County, Washington",54,4.1,+/-1.0
R1603,05000US53073,"Whatcom County, Washington",54,1.8,+/-0.6
R1603,05000US53077,"Yakima County, Washington",54,17.5,+/-1.4
R1603,05000US55009,"Brown County, Wisconsin",54,4.5,+/-1.0
R1603,05000US55025,"Dane County, Wisconsin",54,3.1,+/-0.4
R1603,05000US55073,"Marathon County, Wisconsin",54,2.7,+/-0.8
R1603,05000US55079,"Milwaukee County, Wisconsin",54,6.1,+/-0.5
R1603,05000US55101,"Racine County, Wisconsin",54,3.8,+/-1.2
R1603,05000US55133,"Waukesha County, Wisconsin",54,2.2,+/-0.7
